stimulus_id,filename,run,block,condition,task_response,duration_sec,category
marvi2025_001,run1_block10_correct.mp4,1,10,bodies,correct,3.0,bodies
marvi2025_002,run1_block11_incorrect.mp4,1,11,scenes,incorrect,3.0,scenes
marvi2025_003,run1_block12_incorrect.mp4,1,12,faces,incorrect,3.0,faces
marvi2025_004,run1_block2_correct.mp4,1,2,faces,correct,3.0,faces
marvi2025_005,run1_block3_incorrect.mp4,1,3,scenes,incorrect,3.0,scenes
marvi2025_006,run1_block4_correct.mp4,1,4,bodies,correct,3.0,bodies
marvi2025_007,run1_block5_incorrect.mp4,1,5,objects,incorrect,3.0,objects
marvi2025_008,run1_block6_incorrect.mp4,1,6,words,incorrect,3.0,words_scrambled
marvi2025_009,run1_block8_incorrect.mp4,1,8,words,incorrect,3.0,words_scrambled
marvi2025_010,run1_block9_incorrect.mp4,1,9,objects,incorrect,3.0,objects
marvi2025_011,run2_block10_incorrect.mp4,2,10,objects,incorrect,3.0,objects
marvi2025_012,run2_block11_correct.mp4,2,11,bodies,correct,3.0,bodies
marvi2025_013,run2_block12_correct.mp4,2,12,scenes,correct,3.0,scenes
marvi2025_014,run2_block2_incorrect.mp4,2,2,scenes,incorrect,3.0,scenes
marvi2025_015,run2_block3_incorrect.mp4,2,3,bodies,incorrect,3.0,bodies
marvi2025_016,run2_block4_correct.mp4,2,4,objects,correct,3.0,objects
marvi2025_017,run2_block5_incorrect.mp4,2,5,words,incorrect,3.0,words_scrambled
marvi2025_018,run2_block6_incorrect.mp4,2,6,faces,incorrect,3.0,faces
marvi2025_019,run2_block8_correct.mp4,2,8,faces,correct,3.0,faces
marvi2025_020,run2_block9_incorrect.mp4,2,9,words,incorrect,3.0,words_scrambled
marvi2025_021,run3_block10_correct.mp4,3,10,words,correct,3.0,words_scrambled
marvi2025_022,run3_block11_correct.mp4,3,11,objects,correct,3.0,objects
marvi2025_023,run3_block12_incorrect.mp4,3,12,bodies,incorrect,3.0,bodies
marvi2025_024,run3_block2_incorrect.mp4,3,2,bodies,incorrect,3.0,bodies
marvi2025_025,run3_block3_incorrect.mp4,3,3,objects,incorrect,3.0,objects
marvi2025_026,run3_block4_correct.mp4,3,4,words,correct,3.0,words_scrambled
marvi2025_027,run3_block5_incorrect.mp4,3,5,faces,incorrect,3.0,faces
marvi2025_028,run3_block6_incorrect.mp4,3,6,scenes,incorrect,3.0,scenes
marvi2025_029,run3_block8_incorrect.mp4,3,8,scenes,incorrect,3.0,scenes
marvi2025_030,run3_block9_correct.mp4,3,9,faces,correct,3.0,faces
marvi2025_031,run4_block10_correct.mp4,4,10,faces,correct,3.0,faces
marvi2025_032,run4_block11_correct.mp4,4,11,words,correct,3.0,words_scrambled
marvi2025_033,run4_block12_incorrect.mp4,4,12,objects,incorrect,3.0,objects
marvi2025_034,run4_block2_incorrect.mp4,4,2,objects,incorrect,3.0,objects
marvi2025_035,run4_block3_correct.mp4,4,3,words,correct,3.0,words_scrambled
marvi2025_036,run4_block4_correct.mp4,4,4,faces,correct,3.0,faces
marvi2025_037,run4_block5_incorrect.mp4,4,5,scenes,incorrect,3.0,scenes
marvi2025_038,run4_block6_correct.mp4,4,6,bodies,correct,3.0,bodies
marvi2025_039,run4_block8_incorrect.mp4,4,8,bodies,incorrect,3.0,bodies
marvi2025_040,run4_block9_incorrect.mp4,4,9,scenes,incorrect,3.0,scenes
marvi2025_041,run5_block10_incorrect.mp4,5,10,scenes,incorrect,3.0,scenes
marvi2025_042,run5_block11_incorrect.mp4,5,11,faces,incorrect,3.0,faces
marvi2025_043,run5_block12_correct.mp4,5,12,words,correct,3.0,words_scrambled
marvi2025_044,run5_block2_correct.mp4,5,2,words,correct,3.0,words_scrambled
marvi2025_045,run5_block3_correct.mp4,5,3,faces,correct,3.0,faces
marvi2025_046,run5_block4_incorrect.mp4,5,4,scenes,incorrect,3.0,scenes
marvi2025_047,run5_block5_correct.mp4,5,5,bodies,correct,3.0,bodies
marvi2025_048,run5_block6_correct.mp4,5,6,objects,correct,3.0,objects
marvi2025_049,run5_block8_incorrect.mp4,5,8,objects,incorrect,3.0,objects
marvi2025_050,run5_block9_correct.mp4,5,9,bodies,correct,3.0,bodies
